Dossier de Prêt;Solde du Compte Courant;Durée du Prêt;Remboursement des Prêts Antérieurs;Objectif du Prêt;Montant du Prêt;Valeur de l'Épargne;Ancienneté chez l'Employeur Actuel;Endettement en % du Revenu Disponible;Statut Marital;Sexe;Ancienneté dans le Ménage Actuel;Actifs les Plus Importants;Age;Autres Prêts en Cours;Type de Logement;Nombre de Prêts Antérieurs dans cette Banque;Occupation;Ensemble
bon;>300€;12;remboursement intégral;véhicule d'occasion;8 121,40 €;>1400;> 8 ans;25-35;célibataire;Homme;>8 ans;véhicule;47;pas d'autres prêts en cours;à titre gracieux;1;salarié expérimenté;Test
mauvais;pas de compte courant;48;délicat;véhicule neuf;6 447,00 €;pas d'épargne;> 8 ans;15- 25;célibataire;Homme;>8 ans;propriétaire d'un logement/terrain;22;pas d'autres prêts en cours;propriétaire;02-avr;salarié expérimenté;Test
bon;<= 300€;24;aucun prêt antérieur;mobilier;1 761,20 €;140-700;1-5 ans;15- 25;divorcé/séparé/marié;Femme;5-8 ans;assurance vie;55;pas d'autres prêts en cours;locataire;1;sans expérience avec domicile fixe;Apprentissage
bon;>300€;6;aucun prêt antérieur;mobilier;725,20 €;pas d'épargne;1-5 ans;15- 25;divorcé/séparé/marié;Femme;< 1 an;aucun actif;27;pas d'autres prêts en cours;locataire;1;salarié expérimenté;Test
bon;>300€;24;remboursement intégral;autre;2 830,80 €;pas d'épargne;1-5 ans;< 15;divorcé/séparé/marié;Femme;>8 ans;assurance vie;35;pas d'autres prêts en cours;locataire;1;salarié expérimenté;Apprentissage
mauvais;négligeable;36;remboursement intégral;autre;3 948,00 €;pas d'épargne;<1 an;< 15;divorcé/séparé;Homme;>8 ans;assurance vie;25;pas d'autres prêts en cours;locataire;02-avr;salarié expérimenté;Test
bon;pas de compte courant;47;aucun prêt antérieur;autre;15 010,80 €;pas d'épargne;<1 an;> 35;divorcé/séparé/marié;Femme;< 1 an;aucun actif;33;pas d'autres prêts en cours;locataire;1;sans expérience avec domicile fixe;Test
bon;>300€;12;aucun prêt antérieur;réorientation professionnelle;2 158,80 €;pas d'épargne;5-8 ans;25-35;célibataire;Homme;>8 ans;assurance vie;34;pas d'autres prêts en cours;locataire;1;salarié expérimenté;Test
bon;>300€;18;aucun prêt antérieur;mobilier;1 576,40 €;>1400;<1 an;< 15;divorcé/séparé/marié;Femme;1-5 ans;aucun actif;19;pas d'autres prêts en cours;à titre gracieux;1;salarié expérimenté;Apprentissage
bon;pas de compte courant;24;aucun prêt antérieur;mobilier;2 244,20 €;pas d'épargne;> 8 ans;< 15;divorcé/séparé/marié;Femme;>8 ans;assurance vie;53;pas d'autres prêts en cours;locataire;1;salarié expérimenté;Apprentissage
bon;pas de compte courant;12;aucun prêt antérieur;mobilier;2 097,20 €;pas d'épargne;1-5 ans;< 15;divorcé/séparé/marié;Femme;< 1 an;assurance vie;21;banques concurrentes;locataire;1;salarié expérimenté;Apprentissage
bon;négligeable;15;aucun prêt antérieur;mobilier;2 021,60 €;>1400;<1 an;< 15;célibataire;Homme;< 1 an;véhicule;21;pas d'autres prêts en cours;locataire;1;salarié expérimenté;Apprentissage
mauvais;pas de compte courant;30;aucun prêt antérieur;électroménager;16 797,20 €;pas d'épargne;<1 an;> 35;divorcé/séparé;Homme;< 1 an;propriétaire d'un logement/terrain;32;banques concurrentes;locataire;1;sans expérience avec domicile fixe;Apprentissage
mauvais;pas de compte courant;6;aucun prêt antérieur;réparations;627,20 €;pas d'épargne;<1 an;< 15;divorcé/séparé/marié;Femme;>8 ans;véhicule;21;pas d'autres prêts en cours;locataire;1;salarié expérimenté;Apprentissage
bon;négligeable;6;aucun problème avec les prêts antérieurs;véhicule d'occasion;1 470,00 €;pas d'épargne;sans emploi;< 15;célibataire;Homme;< 1 an;véhicule;33;grand magasin;locataire;02-avr;cadre/profession libérale;Apprentissage
bon;négligeable;30;aucun prêt antérieur;mobilier;2 401,00 €;>1400;1-5 ans;< 15;divorcé/séparé/marié;Femme;< 1 an;assurance vie;24;pas d'autres prêts en cours;locataire;1;salarié expérimenté;Apprentissage
mauvais;pas de compte courant;36;aucun prêt antérieur;mobilier;3 222,80 €;pas d'épargne;1-5 ans;< 15;divorcé/séparé;Homme;>8 ans;assurance vie;29;pas d'autres prêts en cours;à titre gracieux;1;salarié expérimenté;Apprentissage
bon;>300€;30;remboursement intégral;mobilier;8 079,40 €;pas d'épargne;5-8 ans;< 15;divorcé/séparé/marié;Femme;1-5 ans;assurance vie;23;pas d'autres prêts en cours;locataire;02-avr;salarié expérimenté;Test
mauvais;pas de compte courant;12;aucun prêt antérieur;véhicule d'occasion;1 794,80 €;pas d'épargne;1-5 ans;25-35;divorcé/séparé/marié;Femme;>8 ans;assurance vie;18;pas d'autres prêts en cours;à titre gracieux;1;salarié expérimenté;Apprentissage
bon;>300€;12;aucun prêt antérieur;mobilier;4 307,80 €;pas d'épargne;1-5 ans;25-35;célibataire;Homme;>8 ans;assurance vie;50;pas d'autres prêts en cours;locataire;1;salarié expérimenté;Apprentissage
bon;>300€;12;remboursement intégral;mobilier;1 302,00 €;>1400;> 8 ans;< 15;célibataire;Homme;>8 ans;aucun actif;63;pas d'autres prêts en cours;locataire;7 et +;salarié expérimenté;Test
bon;négligeable;48;délicat;autre;11 701,20 €;140-700;<1 an;> 35;divorcé/séparé/marié;Femme;< 1 an;assurance vie;28;pas d'autres prêts en cours;locataire;02-avr;salarié expérimenté;Apprentissage
bon;négligeable;12;remboursement intégral;autre;4 373,60 €;pas d'épargne;<1 an;> 35;célibataire;Homme;5-8 ans;aucun actif;47;banques concurrentes;locataire;02-avr;sans expérience avec domicile fixe;Test
bon;>300€;36;remboursement intégral;autre;4 949,00 €;pas d'épargne;5-8 ans;< 15;célibataire;Homme;>8 ans;assurance vie;35;pas d'autres prêts en cours;locataire;02-avr;salarié expérimenté;Test
bon;négligeable;12;remboursement intégral;autre;2 793,00 €;<140;<1 an;< 15;célibataire;Homme;< 1 an;assurance vie;25;pas d'autres prêts en cours;locataire;1;salarié expérimenté;Test
bon;<= 300€;6;remboursement intégral;autre;1 852,20 €;<140;> 8 ans;25-35;divorcé/séparé;Homme;>8 ans;assurance vie;26;pas d'autres prêts en cours;locataire;02-avr;salarié expérimenté;Test
bon;négligeable;8;aucun prêt antérieur;mobilier;1 064,00 €;pas d'épargne;5-8 ans;< 15;divorcé/séparé/marié;Femme;1-5 ans;aucun actif;42;pas d'autres prêts en cours;locataire;1;sans expérience avec domicile fixe;Test
mauvais;négligeable;18;délicat;autre;3 189,20 €;<140;<1 an;15- 25;divorcé/séparé/marié;Femme;5-8 ans;assurance vie;26;pas d'autres prêts en cours;locataire;02-avr;salarié expérimenté;Apprentissage
mauvais;pas de compte courant;60;aucun problème avec les prêts antérieurs;réorientation professionnelle;9 570,40 €;pas d'épargne;> 8 ans;15- 25;célibataire;Homme;>8 ans;propriétaire d'un logement/terrain;61;pas d'autres prêts en cours;locataire;02-avr;salarié expérimenté;Apprentissage
mauvais;négligeable;9;remboursement intégral;réparations;2 101,40 €;pas d'épargne;> 8 ans;25-35;divorcé/séparé/marié;Femme;5-8 ans;assurance vie;32;pas d'autres prêts en cours;locataire;02-avr;cadre/profession libérale;Test
bon;négligeable;8;aucun prêt antérieur;réorientation professionnelle;1 269,80 €;pas d'épargne;<1 an;15- 25;marié/veuf;Homme;1-5 ans;aucun actif;24;pas d'autres prêts en cours;locataire;1;salarié expérimenté;Apprentissage
bon;>300€;12;aucun prêt antérieur;véhicule d'occasion;2 430,40 €;pas d'épargne;5-8 ans;15- 25;divorcé/séparé/marié;Femme;>8 ans;aucun actif;29;pas d'autres prêts en cours;locataire;1;sans expérience avec domicile fixe;Test
mauvais;pas de compte courant;15;aucun prêt antérieur;télévision;1 785,00 €;>1400;1-5 ans;< 15;divorcé/séparé/marié;Femme;1-5 ans;assurance vie;22;pas d'autres prêts en cours;à titre gracieux;1;salarié expérimenté;Apprentissage
bon;pas de compte courant;36;remboursement intégral;véhicule d'occasion;7 519,40 €;pas d'épargne;1-5 ans;15- 25;célibataire;Homme;1-5 ans;véhicule;26;pas d'autres prêts en cours;locataire;02-avr;salarié expérimenté;Test
bon;>300€;24;remboursement intégral;autre;3 448,20 €;<140;5-8 ans;< 15;marié/veuf;Homme;5-8 ans;véhicule;25;pas d'autres prêts en cours;locataire;02-avr;salarié expérimenté;Apprentissage
bon;négligeable;20;délicat;véhicule neuf;8 607,20 €;<140;> 8 ans;15- 25;marié/veuf;Homme;>8 ans;assurance vie;29;banques concurrentes;locataire;02-avr;salarié expérimenté;Apprentissage
mauvais;>300€;18;remboursement intégral;autre;2 142,00 €;pas d'épargne;1-5 ans;15- 25;célibataire;Homme;1-5 ans;véhicule;30;banques concurrentes;locataire;02-avr;salarié expérimenté;Apprentissage
bon;>300€;7;aucun problème avec les prêts antérieurs;mobilier;1 184,40 €;>1400;> 8 ans;15- 25;célibataire;Homme;>8 ans;propriétaire d'un logement/terrain;34;pas d'autres prêts en cours;propriétaire;1;salarié expérimenté;Apprentissage
mauvais;pas de compte courant;24;remboursement intégral;autre;1 678,60 €;pas d'épargne;> 8 ans;< 15;célibataire;Homme;>8 ans;assurance vie;58;pas d'autres prêts en cours;locataire;02-avr;sans expérience avec domicile fixe;Test
bon;>300€;9;aucun prêt antérieur;réparations;5 364,80 €;>1400;> 8 ans;> 35;célibataire;Homme;>8 ans;aucun actif;62;pas d'autres prêts en cours;locataire;1;sans expérience avec domicile fixe;Apprentissage
bon;pas de compte courant;15;aucun prêt antérieur;autre;2 409,40 €;pas d'épargne;<1 an;25-35;célibataire;Homme;5-8 ans;aucun actif;34;pas d'autres prêts en cours;locataire;1;salarié expérimenté;Test
mauvais;négligeable;36;aucun prêt antérieur;véhicule d'occasion;12 647,60 €;<140;<1 an;< 15;célibataire;Homme;< 1 an;propriétaire d'un logement/terrain;27;pas d'autres prêts en cours;à titre gracieux;1;cadre/profession libérale;Apprentissage
bon;>300€;24;comptes courants à problèmes;réorientation professionnelle;2 182,60 €;pas d'épargne;5-8 ans;< 15;célibataire;Homme;>8 ans;assurance vie;38;banques concurrentes;locataire;1;salarié expérimenté;Test
bon;négligeable;24;aucun prêt antérieur;véhicule d'occasion;4 296,60 €;<140;> 8 ans;< 15;célibataire;Homme;>8 ans;propriétaire d'un logement/terrain;28;pas d'autres prêts en cours;propriétaire;1;salarié expérimenté;Apprentissage
bon;>300€;24;aucun prêt antérieur;autre;3 157,00 €;>1400;<1 an;< 15;célibataire;Homme;< 1 an;véhicule;52;pas d'autres prêts en cours;locataire;1;salarié expérimenté;Apprentissage
bon;pas de compte courant;24;aucun prêt antérieur;véhicule neuf;4 074,00 €;pas d'épargne;5-8 ans;25-35;célibataire;Homme;< 1 an;propriétaire d'un logement/terrain;32;pas d'autres prêts en cours;propriétaire;1;cadre/profession libérale;Test
mauvais;>300€;24;aucun prêt antérieur;réorientation professionnelle;6 427,40 €;700-1400;1-5 ans;25-35;célibataire;Homme;5-8 ans;véhicule;52;pas d'autres prêts en cours;locataire;05-juin;cadre/profession libérale;Apprentissage
mauvais;<= 300€;15;remboursement intégral;mobilier;1 779,40 €;>1400;1-5 ans;15- 25;célibataire;Homme;>8 ans;propriétaire d'un logement/terrain;37;pas d'autres prêts en cours;propriétaire;02-avr;salarié expérimenté;Test
bon;>300€;21;aucun problème avec les prêts antérieurs;véhicule d'occasion;2 227,40 €;<140;5-8 ans;< 15;célibataire;Homme;5-8 ans;aucun actif;32;pas d'autres prêts en cours;locataire;02-avr;cadre/profession libérale;Apprentissage
bon;>300€;15;remboursement intégral;réparations;2 144,80 €;<140;1-5 ans;< 15;divorcé/séparé/marié;Femme;5-8 ans;assurance vie;29;pas d'autres prêts en cours;locataire;1;salarié expérimenté;Apprentissage
bon;>300€;24;remboursement intégral;véhicule neuf;3 075,80 €;>1400;5-8 ans;< 15;célibataire;Homme;>8 ans;assurance vie;41;pas d'autres prêts en cours;locataire;02-avr;salarié expérimenté;Apprentissage
mauvais;>300€;21;aucun problème avec les prêts antérieurs;réorientation professionnelle;3 612,00 €;140-700;<1 an;< 15;célibataire;Homme;1-5 ans;aucun actif;39;banques concurrentes;locataire;1;sans expérience avec domicile fixe;Test
mauvais;pas de compte courant;12;remboursement intégral;autre;4 898,60 €;pas d'épargne;1-5 ans;15- 25;divorcé/séparé/marié;Femme;1-5 ans;aucun actif;27;pas d'autres prêts en cours;locataire;02-avr;salarié expérimenté;Test
mauvais;>300€;12;aucun prêt antérieur;autre;1 940,40 €;140-700;1-5 ans;25-35;divorcé/séparé/marié;Femme;1-5 ans;véhicule;24;pas d'autres prêts en cours;locataire;1;salarié expérimenté;Apprentissage
bon;>300€;15;remboursement intégral;mobilier;2 560,60 €;pas d'épargne;> 8 ans;< 15;célibataire;Homme;>8 ans;assurance vie;44;pas d'autres prêts en cours;locataire;02-avr;salarié expérimenté;Apprentissage
bon;>300€;36;aucun prêt antérieur;mobilier;3 351,60 €;>1400;1-5 ans;< 15;divorcé/séparé/marié;Femme;>8 ans;assurance vie;23;pas d'autres prêts en cours;locataire;1;salarié expérimenté;Apprentissage
bon;négligeable;12;aucun problème avec les prêts antérieurs;mobilier;819,00 €;pas d'épargne;1-5 ans;< 15;marié/veuf;Homme;>8 ans;aucun actif;18;pas d'autres prêts en cours;à titre gracieux;02-avr;salarié expérimenté;Apprentissage
bon;>300€;24;aucun problème avec les prêts antérieurs;autre;2 844,80 €;pas d'épargne;> 8 ans;< 15;célibataire;Homme;>8 ans;propriétaire d'un logement/terrain;58;pas d'autres prêts en cours;propriétaire;02-avr;salarié expérimenté;Apprentissage
bon;<= 300€;21;aucun prêt antérieur;autre;4 092,20 €;<140;1-5 ans;> 35;divorcé/séparé/marié;Femme;< 1 an;assurance vie;26;banques concurrentes;locataire;1;cadre/profession libérale;Apprentissage
bon;négligeable;18;aucun prêt antérieur;réorientation professionnelle;6 214,60 €;pas d'épargne;> 8 ans;> 35;célibataire;Homme;< 1 an;aucun actif;31;banques concurrentes;locataire;1;cadre/profession libérale;Apprentissage
bon;>300€;6;aucun prêt antérieur;autre;940,80 €;pas d'épargne;sans emploi;> 35;divorcé/séparé/marié;Femme;>8 ans;aucun actif;52;pas d'autres prêts en cours;locataire;1;sans expérience et sans domicile fixe;Test
mauvais;négligeable;18;aucun prêt antérieur;véhicule d'occasion;2 693,60 €;>1400;<1 an;< 15;divorcé/séparé/marié;Femme;5-8 ans;aucun actif;25;pas d'autres prêts en cours;à titre gracieux;1;salarié expérimenté;Test
mauvais;<= 300€;24;aucun prêt antérieur;autre;1 325,80 €;pas d'épargne;5-8 ans;< 15;célibataire;Homme;5-8 ans;propriétaire d'un logement/terrain;36;banques concurrentes;propriétaire;1;salarié expérimenté;Apprentissage
bon;>300€;6;comptes courants à problèmes;autre;1 096,20 €;>1400;1-5 ans;> 35;célibataire;Homme;1-5 ans;aucun actif;24;grand magasin;locataire;1;sans expérience avec domicile fixe;Apprentissage
mauvais;>300€;36;aucun problème avec les prêts antérieurs;mobilier;6 248,20 €;pas d'épargne;1-5 ans;< 15;célibataire;Homme;1-5 ans;assurance vie;24;pas d'autres prêts en cours;locataire;02-avr;cadre/profession libérale;Test
bon;>300€;24;aucun problème avec les prêts antérieurs;véhicule d'occasion;5 811,40 €;<140;1-5 ans;25-35;célibataire;Homme;5-8 ans;véhicule;33;pas d'autres prêts en cours;locataire;02-avr;salarié expérimenté;Apprentissage
mauvais;pas de compte courant;36;remboursement intégral;réparations;11 291,00 €;pas d'épargne;1-5 ans;15- 25;divorcé/séparé/marié;Femme;1-5 ans;propriétaire d'un logement/terrain;23;pas d'autres prêts en cours;locataire;02-avr;cadre/profession libérale;Test
bon;pas de compte courant;30;aucun prêt antérieur;mobilier;3 530,80 €;pas d'épargne;> 8 ans;> 35;célibataire;Homme;5-8 ans;véhicule;37;pas d'autres prêts en cours;locataire;1;salarié expérimenté;Test
bon;négligeable;12;aucun prêt antérieur;autre;8 509,20 €;pas d'épargne;5-8 ans;25-35;célibataire;Homme;1-5 ans;assurance vie;30;pas d'autres prêts en cours;locataire;1;salarié expérimenté;Apprentissage
bon;négligeable;20;aucun problème avec les prêts antérieurs;véhicule neuf;9 879,80 €;>1400;5-8 ans;15- 25;célibataire;Homme;>8 ans;véhicule;34;banques concurrentes;à titre gracieux;02-avr;cadre/profession libérale;Apprentissage
mauvais;pas de compte courant;24;aucun prêt antérieur;autre;1 689,80 €;pas d'épargne;<1 an;< 15;divorcé/séparé/marié;Femme;>8 ans;véhicule;22;pas d'autres prêts en cours;à titre gracieux;1;salarié expérimenté;Apprentissage
bon;pas de compte courant;12;aucun prêt antérieur;mobilier;3 099,60 €;pas d'épargne;1-5 ans;< 15;célibataire;Homme;5-8 ans;véhicule;22;pas d'autres prêts en cours;locataire;1;sans expérience avec domicile fixe;Test
bon;pas de compte courant;24;comptes courants à problèmes;véhicule neuf;5 084,80 €;pas d'épargne;1-5 ans;> 35;divorcé/séparé/marié;Femme;>8 ans;assurance vie;20;banques concurrentes;à titre gracieux;1;salarié expérimenté;Test
bon;<= 300€;36;aucun prêt antérieur;mobilier;5 486,60 €;pas d'épargne;1-5 ans;25-35;célibataire;Homme;1-5 ans;aucun actif;21;pas d'autres prêts en cours;locataire;1;salarié expérimenté;Test
bon;>300€;36;aucun prêt antérieur;mobilier;3 218,60 €;140-700;> 8 ans;< 15;célibataire;Homme;>8 ans;assurance vie;37;pas d'autres prêts en cours;locataire;1;salarié expérimenté;Test
bon;>300€;30;remboursement intégral;mobilier;4 307,80 €;>1400;> 8 ans;15- 25;célibataire;Homme;1-5 ans;assurance vie;38;pas d'autres prêts en cours;locataire;02-avr;salarié expérimenté;Test
mauvais;pas de compte courant;12;aucun prêt antérieur;réparations;957,60 €;pas d'épargne;1-5 ans;< 15;célibataire;Homme;>8 ans;assurance vie;38;pas d'autres prêts en cours;à titre gracieux;1;sans expérience avec domicile fixe;Apprentissage
bon;>300€;24;aucun prêt antérieur;véhicule d'occasion;4 286,80 €;140-700;> 8 ans;< 15;célibataire;Homme;5-8 ans;propriétaire d'un logement/terrain;30;pas d'autres prêts en cours;à titre gracieux;1;salarié expérimenté;Apprentissage
mauvais;négligeable;48;aucun prêt antérieur;mobilier;4 284,00 €;pas d'épargne;5-8 ans;< 15;célibataire;Homme;>8 ans;aucun actif;26;pas d'autres prêts en cours;locataire;02-avr;salarié expérimenté;Test
bon;pas de compte courant;6;remboursement intégral;mobilier;2 739,80 €;pas d'épargne;5-8 ans;> 35;divorcé/séparé/marié;Femme;>8 ans;assurance vie;29;pas d'autres prêts en cours;locataire;1;salarié expérimenté;Test
mauvais;<= 300€;9;aucun prêt antérieur;mobilier;1 043,00 €;pas d'épargne;1-5 ans;15- 25;divorcé/séparé/marié;Femme;1-5 ans;aucun actif;26;pas d'autres prêts en cours;locataire;1;sans expérience avec domicile fixe;Test
bon;>300€;21;aucun prêt antérieur;véhicule neuf;3 466,40 €;>1400;> 8 ans;< 15;célibataire;Homme;>8 ans;aucun actif;44;pas d'autres prêts en cours;locataire;1;cadre/profession libérale;Apprentissage
bon;<= 300€;24;remboursement intégral;réorientation professionnelle;1 785,00 €;700-1400;1-5 ans;25-35;divorcé/séparé;Homme;>8 ans;aucun actif;34;pas d'autres prêts en cours;locataire;02-avr;salarié expérimenté;Apprentissage
bon;>300€;24;aucun problème avec les prêts antérieurs;véhicule neuf;6 550,60 €;pas d'épargne;5-8 ans;15- 25;célibataire;Homme;5-8 ans;assurance vie;33;pas d'autres prêts en cours;locataire;02-avr;sans expérience avec domicile fixe;Test
bon;négligeable;13;remboursement intégral;mobilier;1 234,80 €;pas d'épargne;<1 an;< 15;célibataire;Homme;>8 ans;aucun actif;21;pas d'autres prêts en cours;locataire;02-avr;salarié expérimenté;Apprentissage
bon;>300€;12;remboursement intégral;réparations;3 847,20 €;pas d'épargne;> 8 ans;25-35;divorcé/séparé/marié;Femme;>8 ans;propriétaire d'un logement/terrain;55;banques concurrentes;propriétaire;05-juin;sans expérience avec domicile fixe;Test
mauvais;pas de compte courant;18;aucun prêt antérieur;autre;1 366,40 €;pas d'épargne;<1 an;> 35;divorcé/séparé/marié;Femme;1-5 ans;assurance vie;21;pas d'autres prêts en cours;locataire;1;sans expérience avec domicile fixe;Apprentissage
bon;négligeable;27;aucun prêt antérieur;réorientation professionnelle;3 539,20 €;pas d'épargne;<1 an;< 15;divorcé/séparé/marié;Femme;< 1 an;véhicule;30;pas d'autres prêts en cours;locataire;1;salarié expérimenté;Apprentissage
bon;>300€;6;remboursement intégral;autre;2 912,00 €;140-700;1-5 ans;> 35;marié/veuf;Homme;1-5 ans;assurance vie;22;pas d'autres prêts en cours;locataire;1;salarié expérimenté;Test
mauvais;négligeable;12;aucun prêt antérieur;autre;1 813,00 €;pas d'épargne;<1 an;15- 25;divorcé/séparé/marié;Femme;< 1 an;assurance vie;23;pas d'autres prêts en cours;à titre gracieux;1;salarié expérimenté;Apprentissage
mauvais;pas de compte courant;18;remboursement intégral;autre;5 552,40 €;pas d'épargne;> 8 ans;> 35;divorcé/séparé/marié;Femme;>8 ans;aucun actif;31;banques concurrentes;à titre gracieux;05-juin;salarié expérimenté;Test
mauvais;>300€;24;aucun prêt antérieur;mobilier;3 355,80 €;140-700;> 8 ans;15- 25;célibataire;Homme;1-5 ans;assurance vie;33;banques concurrentes;locataire;02-avr;salarié expérimenté;Apprentissage
bon;<= 300€;6;aucun prêt antérieur;véhicule d'occasion;2 962,40 €;pas d'épargne;1-5 ans;25-35;célibataire;Homme;1-5 ans;aucun actif;39;pas d'autres prêts en cours;locataire;1;salarié expérimenté;Apprentissage
bon;>300€;18;remboursement intégral;véhicule neuf;4 520,60 €;>1400;sans emploi;25-35;célibataire;Homme;>8 ans;propriétaire d'un logement/terrain;36;pas d'autres prêts en cours;locataire;1;cadre/profession libérale;Apprentissage
mauvais;>300€;18;remboursement intégral;réparations;2 609,60 €;<140;1-5 ans;< 15;divorcé/séparé/marié;Femme;1-5 ans;aucun actif;28;pas d'autres prêts en cours;locataire;02-avr;salarié expérimenté;Test
bon;>300€;20;remboursement intégral;autre;4 879,00 €;>1400;<1 an;25-35;divorcé/séparé;Homme;>8 ans;aucun actif;42;pas d'autres prêts en cours;locataire;02-avr;salarié expérimenté;Test
mauvais;négligeable;18;remboursement intégral;autre;1 237,60 €;pas d'épargne;> 8 ans;< 15;célibataire;Homme;>8 ans;assurance vie;34;pas d'autres prêts en cours;locataire;1;salarié expérimenté;Test
bon;négligeable;24;remboursement intégral;réparations;8 040,20 €;pas d'épargne;<1 an;25-35;divorcé/séparé/marié;Femme;>8 ans;propriétaire d'un logement/terrain;22;pas d'autres prêts en cours;propriétaire;02-avr;salarié expérimenté;Apprentissage
bon;>300€;24;aucun prêt antérieur;mobilier;1 926,40 €;140-700;5-8 ans;< 15;divorcé/séparé/marié;Femme;< 1 an;assurance vie;26;pas d'autres prêts en cours;locataire;1;salarié expérimenté;Apprentissage
bon;<= 300€;12;aucun prêt antérieur;véhicule d'occasion;2 063,60 €;pas d'épargne;<1 an;< 15;divorcé/séparé/marié;Femme;< 1 an;véhicule;31;banques concurrentes;locataire;1;cadre/profession libérale;Apprentissage
mauvais;>300€;24;aucun problème avec les prêts antérieurs;réorientation professionnelle;12 107,20 €;pas d'épargne;<1 an;25-35;célibataire;Homme;1-5 ans;assurance vie;25;banques concurrentes;locataire;02-avr;salarié expérimenté;Apprentissage
bon;>300€;24;remboursement intégral;autre;1 801,80 €;700-1400;> 8 ans;< 15;divorcé/séparé/marié;Femme;>8 ans;aucun actif;35;pas d'autres prêts en cours;locataire;02-avr;salarié expérimenté;Apprentissage
mauvais;négligeable;12;délicat;véhicule d'occasion;4 156,60 €;pas d'épargne;<1 an;< 15;divorcé/séparé/marié;Femme;5-8 ans;véhicule;23;pas d'autres prêts en cours;à titre gracieux;02-avr;salarié expérimenté;Test
bon;>300€;12;aucun prêt antérieur;réorientation professionnelle;1 506,40 €;pas d'épargne;1-5 ans;25-35;marié/veuf;Homme;1-5 ans;aucun actif;24;pas d'autres prêts en cours;locataire;1;salarié expérimenté;Test
bon;>300€;24;aucun prêt antérieur;véhicule d'occasion;1 300,60 €;>1400;5-8 ans;< 15;célibataire;Homme;1-5 ans;assurance vie;29;grand magasin;locataire;1;salarié expérimenté;Apprentissage
bon;négligeable;11;remboursement intégral;autre;1 850,80 €;700-1400;1-5 ans;< 15;divorcé/séparé/marié;Femme;>8 ans;assurance vie;38;pas d'autres prêts en cours;locataire;02-avr;salarié expérimenté;Test
bon;pas de compte courant;24;aucun prêt antérieur;véhicule d'occasion;4 229,40 €;pas d'épargne;1-5 ans;25-35;divorcé/séparé;Homme;1-5 ans;aucun actif;22;pas d'autres prêts en cours;à titre gracieux;1;sans expérience avec domicile fixe;Apprentissage
mauvais;négligeable;60;aucun prêt antérieur;autre;10 371,20 €;<140;<1 an;< 15;divorcé/séparé/marié;Femme;1-5 ans;véhicule;22;pas d'autres prêts en cours;locataire;1;cadre/profession libérale;Apprentissage
bon;>300€;39;aucun prêt antérieur;véhicule neuf;3 596,60 €;140-700;1-5 ans;< 15;célibataire;Homme;>8 ans;assurance vie;22;pas d'autres prêts en cours;locataire;1;salarié expérimenté;Apprentissage
bon;négligeable;30;remboursement intégral;autre;3 053,40 €;>1400;> 8 ans;< 15;célibataire;Homme;>8 ans;aucun actif;34;pas d'autres prêts en cours;locataire;02-avr;salarié expérimenté;Test
mauvais;négligeable;12;aucun prêt antérieur;véhicule d'occasion;3 866,80 €;>1400;> 8 ans;> 35;divorcé/séparé/marié;Femme;1-5 ans;véhicule;23;pas d'autres prêts en cours;locataire;1;salarié expérimenté;Apprentissage
mauvais;pas de compte courant;45;aucun prêt antérieur;mobilier;2 583,00 €;pas d'épargne;1-5 ans;< 15;célibataire;Homme;>8 ans;propriétaire d'un logement/terrain;21;pas d'autres prêts en cours;propriétaire;1;salarié expérimenté;Apprentissage
bon;négligeable;24;aucun prêt antérieur;mobilier;2 753,80 €;pas d'épargne;> 8 ans;< 15;divorcé/séparé/marié;Femme;>8 ans;assurance vie;18;pas d'autres prêts en cours;locataire;1;salarié expérimenté;Test
bon;<= 300€;24;remboursement intégral;véhicule d'occasion;5 063,80 €;>1400;> 8 ans;< 15;célibataire;Homme;>8 ans;propriétaire d'un logement/terrain;18;pas d'autres prêts en cours;à titre gracieux;02-avr;salarié expérimenté;Test
bon;>300€;12;remboursement intégral;réorientation professionnelle;1 659,00 €;pas d'épargne;1-5 ans;15- 25;divorcé/séparé/marié;Femme;1-5 ans;aucun actif;25;pas d'autres prêts en cours;locataire;02-avr;salarié expérimenté;Apprentissage
bon;>300€;18;remboursement intégral;autre;1 477,00 €;pas d'épargne;<1 an;< 15;divorcé/séparé/marié;Femme;< 1 an;véhicule;28;pas d'autres prêts en cours;locataire;02-avr;salarié expérimenté;Apprentissage
bon;pas de compte courant;15;aucun prêt antérieur;véhicule d'occasion;2 583,00 €;pas d'épargne;<1 an;< 15;divorcé/séparé/marié;Femme;< 1 an;véhicule;44;pas d'autres prêts en cours;à titre gracieux;1;salarié expérimenté;Apprentissage
mauvais;pas de compte courant;12;délicat;électroménager;1 551,20 €;pas d'épargne;5-8 ans;< 15;célibataire;Homme;5-8 ans;aucun actif;26;pas d'autres prêts en cours;locataire;02-avr;salarié expérimenté;Apprentissage
mauvais;pas de compte courant;15;délicat;autre;1 330,00 €;pas d'épargne;> 8 ans;< 15;célibataire;Homme;5-8 ans;assurance vie;31;pas d'autres prêts en cours;à titre gracieux;02-avr;salarié expérimenté;Apprentissage
